occ_code,occ_title,soc10,aioe_lm,aioe_img,aioe_all,communication,responsibility,physical_condition,criticality,routine,skills,complementarity_theta,c_aioe,caioe_w50,median_theta,median_aioe_all
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",472071,0.47450531,0.5345453,5.5005527,54,66.5,78.5,61.333332,43,40,0.57222223,4.0536017,4.7770772,0.57583332,6.0017815
51-9111,Packaging and Filling Machine Operators and Tenders,519111,0.49953353,0.53197879,5.5934672,50,76,38.5,68,40.5,40,0.52166665,4.4048557,4.9991612,0.57583332,6.0017815
19-4031,Chemical Technicians,194031,0.57800156,0.56598765,6.0628896,61,65.5,37,67,34.5,60,0.54166669,4.6532679,5.3580785,0.57583332,6.0017815
43-4031,"Court, Municipal, and License Clerks",434031,0.70042408,0.56183642,6.5632691,64,41,31,59.666668,48,40,0.47277781,5.4894452,6.0263572,0.57583332,6.0017815
43-5051,Postal Service Clerks,435051,0.56178027,0.52199519,5.8007731,45.5,49.5,51,49,32,40,0.44499999,5.012835,5.4068041,0.57583332,6.0017815
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",514012,0.55684465,0.56893754,6.0236793,51,57,32.5,69,44.5,60,0.52333331,4.7336082,5.3786435,0.57583332,6.0017815
13-1111,Management Analysts,131111,0.71851563,0.57963431,6.6802487,69,50.5,32.5,64.333336,50,80,0.57722223,4.8895707,5.7849097,0.57583332,6.0017815
15-2011,Actuaries,152011,0.68873054,0.59671843,6.7181377,61.5,32.5,17.5,63,44.5,80,0.49833333,5.4472899,6.0827141,0.57583332,6.0017815
53-6041,Traffic Technicians,536041,0.59708357,0.58128959,6.2146955,50.5,52,61.5,58.666668,41,60,0.53944451,4.7835889,5.4991422,0.57583332,6.0017815
51-6021,"Pressers, Textile, Garment, and Related Materials",516021,0.42735982,0.50677973,5.1555791,50,53,25,29,45,20,0.37,4.841948,4.9987636,0.57583332,6.0017815
39-1012,Slot Supervisors,391012,0.58836192,0.53220654,5.9728189,57,73.5,46.5,69.333336,41,40,0.54555559,4.5609107,5.2668648,0.57583332,6.0017815
51-3011,Bakers,513011,0.54545081,0.55363953,5.8609042,50,60.5,29.5,63.333332,48.5,40,0.48638886,4.8222218,5.3415632,0.57583332,6.0017815
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",516063,0.48714104,0.5167315,5.4748945,34,47,22,39.666668,30,40,0.35444444,5.2270036,5.3509488,0.57583332,6.0017815
39-1011,Gaming Supervisors,391011,0.67295712,0.57948756,6.5431228,57,73.5,46.5,69.333336,41,40,0.54555559,4.9964008,5.769762,0.57583332,6.0017815
33-3031,Fish and Game Wardens,333031,0.54277551,0.55229419,5.8279009,70,68,86.5,84.333336,53,80,0.73638892,3.3380919,4.5829964,0.57583332,6.0017815
19-2031,Chemists,192031,0.61400926,0.57552773,6.2604642,59,57,36.5,67.666664,47,80,0.57861108,4.573617,5.4170408,0.57583332,6.0017815
17-3011,Architectural and Civil Drafters,173011,0.63345909,0.60348052,6.4523158,67.5,43,41,56,40.5,60,0.51333332,5.1349683,5.793642,0.57583332,6.0017815
35-2021,Food Preparation Workers,352021,0.5061022,0.51163644,5.4817667,60,73.5,47.5,58,35,20,0.49000001,4.4904804,4.9861236,0.57583332,6.0017815
17-3012,Electrical and Electronics Drafters,173012,0.64387214,0.59473735,6.4422297,58,41,38.5,59.333332,42.5,60,0.49888885,5.219996,5.8311129,0.57583332,6.0017815
49-2011,"Computer, Automated Teller, and Office Machine Repairers",492011,0.54717958,0.55891156,5.8786974,50.5,42.5,47,68,51.5,60,0.53250003,4.5657883,5.2222428,0.57583332,6.0017815
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",517041,0.47776431,0.53407079,5.5094361,46.5,64.5,41.5,59,46.5,40,0.49666667,4.4764171,4.9929266,0.57583332,6.0017815
53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",531021,0.59789801,0.55277294,6.0800366,73.5,84.5,58.5,76.833336,53.75,40,0.64513892,4.037313,5.0586748,0.57583332,6.0017815
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",353022,0.55856305,0.53079188,5.8264856,58.5,52.25,40.75,51,36,20,0.43083334,5.1175966,5.4720411,0.57583332,6.0017815
51-9022,"Grinding and Polishing Workers, Hand",519022,0.48166174,0.53471696,5.5177784,46,67,42,47.666668,39,20,0.43611115,4.817327,5.1675525,0.57583332,6.0017815
47-2051,Cement Masons and Concrete Finishers,472051,0.44245043,0.51602417,5.2334046,50.5,79,90.5,62.666668,41,20,0.57277775,3.8538213,4.543613,0.57583332,6.0017815
43-4051,Customer Service Representatives,434051,0.67814261,0.56559736,6.4743347,48.5,45.5,36,53.833332,38.75,50,0.45430553,5.534657,6.0044961,0.57583332,6.0017815
37-3011,Landscaping and Groundskeeping Workers,373011,0.44426116,0.51163524,5.2122707,41,56,88,43,35.5,20,0.4725,4.3609333,4.786602,0.57583332,6.0017815
11-3071,"Transportation, Storage, and Distribution Managers",113071,0.66347587,0.57471222,6.4472446,68,75.5,45.5,71.666664,46,80,0.64444441,4.2856269,5.366436,0.57583332,6.0017815
33-3041,Parking Enforcement Workers,333041,0.53234911,0.54416186,5.7533116,46,39.5,68.5,68.666664,39.5,40,0.50361109,4.6346121,5.1939621,0.57583332,6.0017815
15-1199,"Computer Occupations, All Other",151199,0.67537719,0.59569359,6.5908022,61.875,35.958332,26.666666,58.111111,47.666668,80,0.5171296,5.2201595,5.9054809,0.57583332,6.0017815
43-3071,Tellers,433071,0.62294734,0.55354792,6.247684,66.5,59.5,41,68.333336,43.5,40,0.53138888,4.8593097,5.5534968,0.57583332,6.0017815
49-9071,"Maintenance and Repair Workers, General",499071,0.49449855,0.53948462,5.5773301,58.5,84,71.5,70.666664,51,60,0.65944445,3.6237154,4.6005225,0.57583332,6.0017815
19-1022,Microbiologists,191022,0.62664002,0.58610284,6.3481088,65.5,68.5,35.5,67.666664,41.5,100,0.63111109,4.3043704,5.3262396,0.57583332,6.0017815
25-4021,Librarians,254021,0.66974515,0.58158195,6.5020299,76.5,42,33,56.666668,52,100,0.60027784,4.6092162,5.5556231,0.57583332,6.0017815
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",435032,0.68260664,0.58226037,6.5910468,58.5,86.5,45,72.333336,50,40,0.58722222,4.7583694,5.6747084,0.57583332,6.0017815
43-9071,"Office Machine Operators, Except Computer",439071,0.53662884,0.54090863,5.801476,39,38.5,37,45,37.5,40,0.39500001,5.3035159,5.552496,0.57583332,6.0017815
29-2052,Pharmacy Technicians,292052,0.58404732,0.55135673,6.0377464,53,60,39,68,40.5,60,0.53416669,4.6792531,5.3585,0.57583332,6.0017815
43-4021,Correspondence Clerks,434021,0.68741167,0.57305866,6.5528388,58.5,49.5,21.5,59,50,40,0.46416667,5.537149,6.0449939,0.57583332,6.0017815
29-2033,Nuclear Medicine Technologists,292033,0.58411443,0.56153941,6.0731316,52,60.5,43.5,86,50.5,60,0.58749998,4.3827767,5.2279544,0.57583332,6.0017815
11-9051,Food Service Managers,119051,0.59131271,0.53690898,5.979898,64,90,48,68.333336,48.5,40,0.5980556,4.2523718,5.1161346,0.57583332,6.0017815
19-3022,Survey Researchers,193022,0.69548708,0.58780301,6.6775951,65.5,32,23.5,50.333332,46,100,0.52888888,5.2103791,5.9439874,0.57583332,6.0017815
25-9011,Audio-Visual and Multimedia Collections Specialists,259011,0.60934085,0.58420795,6.2378116,76.5,42,33,56.666668,52,100,0.60027784,4.4219151,5.3298631,0.57583332,6.0017815
51-3021,Butchers and Meat Cutters,513021,0.50245684,0.53167176,5.5969,49,71.5,42,70.666664,40.5,40,0.52277774,4.40134,4.9991202,0.57583332,6.0017815
43-5052,Postal Service Mail Carriers,435052,0.50325793,0.52612108,5.5546541,47,30.5,77.5,60.333332,30,40,0.47555551,4.6304216,5.0925379,0.57583332,6.0017815
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",514072,0.49119538,0.52510476,5.517952,57,61,39.5,59,44.5,40,0.50166667,4.4557462,4.9868493,0.57583332,6.0017815
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",519192,0.48981938,0.52651548,5.5198693,52.5,54.5,35,54.333332,39,40,0.45888886,4.6934223,5.1066461,0.57583332,6.0017815
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",414012,0.67498618,0.55955338,6.4053111,59,44,48,67.666664,54,80,0.58777773,4.6207204,5.5130157,0.57583332,6.0017815
33-3021,Detectives and Criminal Investigators,333021,0.59898508,0.56540889,6.1331515,67.416664,62.666664,67.75,83.055557,51,63.333332,0.65870374,3.9893878,5.0612698,0.57583332,6.0017815
11-3051,Industrial Production Managers,113051,0.61637592,0.57169425,6.2639503,70.785713,90.428574,52.642857,78,52.785713,74.285713,0.69821429,3.8269753,5.0454631,0.57583332,6.0017815
43-9081,Proofreaders and Copy Markers,439081,0.70898318,0.57136983,6.6153212,44.5,20.5,29,56.666668,37.5,80,0.44694448,5.7038765,6.1595988,0.57583332,6.0017815
13-2041,Credit Analysts,132041,0.67956364,0.58498961,6.6409659,63,18,24.5,59,49.5,80,0.49000001,5.4400578,6.0405121,0.57583332,6.0017815
23-2091,Court Reporters,232091,0.66336733,0.54836851,6.4110708,66,25,31.5,57.666668,52,60,0.48694447,5.2713246,5.841198,0.57583332,6.0017815
17-2021,Agricultural Engineers,172021,0.64506984,0.59125447,6.4587235,65.5,61,51,67,50,80,0.62416667,4.4242258,5.4414744,0.57583332,6.0017815
29-2034,Radiologic Technologists,292034,0.55139637,0.53474039,5.7840033,56,66.5,47,76.666664,45.5,60,0.58611107,4.1821561,4.9830794,0.57583332,6.0017815
13-2052,Personal Financial Advisors,132052,0.70552075,0.57577664,6.6659741,60,33.5,19,68.333336,50.5,80,0.51888889,5.267971,5.9669728,0.57583332,6.0017815
43-5021,Couriers and Messengers,435021,0.50709331,0.53262562,5.6022549,54.5,62,55.5,66.333336,49,40,0.54555559,4.2779441,4.9400992,0.57583332,6.0017815
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",433031,0.65607721,0.57437915,6.5032516,55.5,37.5,27,59.333332,44.5,60,0.47305551,5.4374413,5.9703465,0.57583332,6.0017815
47-4031,Fence Erectors,474031,0.44264901,0.50444895,5.1771927,58,91.5,84,67.666664,53.5,40,0.65777779,3.3723657,4.2747793,0.57583332,6.0017815
45-2011,Agricultural Inspectors,452011,0.58535469,0.56792688,6.1114273,50.5,60.5,70.5,68.333336,46.5,40,0.56055558,4.5750823,5.3432546,0.57583332,6.0017815
29-1126,Respiratory Therapists,291126,0.56897914,0.54809827,5.9498148,60.5,61,47,84,46.5,60,0.59833336,4.2293267,5.0895705,0.57583332,6.0017815
29-1061,Anesthesiologists,291061,0.60417891,0.55275619,6.1404934,68,76,47,91.333336,52.5,100,0.72472227,3.5887771,4.864635,0.57583332,6.0017815
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",519195,0.47980249,0.53819555,5.5000153,47.400002,58.300003,36.299999,58.933334,42.5,44,0.47905558,4.5656238,5.0328193,0.57583332,6.0017815
29-1062,Family and General Practitioners,291062,0.68149996,0.56649899,6.4997249,53.5,74.5,49.5,99.666664,53.5,100,0.71777779,3.8438649,5.1717949,0.57583332,6.0017815
29-1041,Optometrists,291041,0.60319692,0.58205849,6.2617688,63,68,45,79,52.5,100,0.67916667,3.9449143,5.1033416,0.57583332,6.0017815
13-2021,Appraisers and Assessors of Real Estate,132021,0.63979864,0.58520216,6.4129734,51.5,22,59,61.666668,47,80,0.53527778,4.9629288,5.6879511,0.57583332,6.0017815
13-1161,Market Research Analysts and Marketing Specialists,131161,0.70214111,0.59058487,6.6776972,61,35,23.5,60.666668,51,80,0.51861113,5.2790904,5.978394,0.57583332,6.0017815
47-2211,Sheet Metal Workers,472211,0.47950521,0.53618479,5.5049553,55.5,61.5,60.5,67.333336,42.5,40,0.54555559,4.2036448,4.8543,0.57583332,6.0017815
47-5071,"Roustabouts, Oil and Gas",475071,0.45762703,0.52211285,5.3498931,79,82.5,94.5,75.666664,44,20,0.65944445,3.4759445,4.4129186,0.57583332,6.0017815
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",119013,0.57248193,0.5554238,5.9752717,59.5,77.5,75.5,68,54,80,0.69083333,3.6947098,4.8349905,0.57583332,6.0017815
45-2041,"Graders and Sorters, Agricultural Products",452041,0.49768022,0.49922585,5.4166088,50.5,45,50,43.333332,30.5,20,0.39888889,4.9306188,5.1736135,0.57583332,6.0017815
19-4093,Forest and Conservation Technicians,194093,0.52089703,0.55220646,5.7338181,72,72,76.5,74.333336,47,60,0.66972226,3.6664579,4.7001381,0.57583332,6.0017815
15-1111,Computer and Information Research Scientists,151111,0.66892731,0.59655637,6.554872,72.5,44,17.5,56.666668,47.5,100,0.56361115,4.8870211,5.7209463,0.57583332,6.0017815
13-2061,Financial Examiners,132061,0.70225883,0.59204912,6.7224603,64.5,43.5,30.5,52.333332,42.5,80,0.52222216,5.2902031,6.0063319,0.57583332,6.0017815
19-2021,Atmospheric and Space Scientists,192021,0.69385821,0.58971524,6.6538796,69,45,38,63.333332,47,80,0.57055551,4.9146299,5.7842546,0.57583332,6.0017815
43-1011,First-Line Supervisors of Office and Administrative Support Workers,431011,0.68314052,0.57096869,6.5027733,62,62,26,66,52.5,60,0.54750001,4.9529457,5.7278595,0.57583332,6.0017815
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",492095,0.52852529,0.55348414,5.7856441,60.5,77.5,85.5,77,43.5,60,0.67333335,3.6787052,4.7321749,0.57583332,6.0017815
51-1011,First-Line Supervisors of Production and Operating Workers,511011,0.58288002,0.54910702,5.9964781,77,85,53,74.333336,50,60,0.6655556,3.8593998,4.9279389,0.57583332,6.0017815
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",359031,0.60164189,0.53138351,6.0090904,67,57.5,49,49,44,40,0.51083332,4.7972574,5.4031739,0.57583332,6.0017815
43-5031,"Police, Fire, and Ambulance Dispatchers",435031,0.65233517,0.56933403,6.443615,49.5,51,31.5,75.333336,44,40,0.48555556,5.3070331,5.8753238,0.57583332,6.0017815
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",492094,0.52588743,0.56128436,5.8257885,61.5,53,47.5,68.666664,51.5,60,0.57027775,4.3046107,5.0651994,0.57583332,6.0017815
53-2031,Flight Attendants,532031,0.55481356,0.5074982,5.691051,96,89.5,68,88,46.5,40,0.71333331,3.390918,4.5409846,0.57583332,6.0017815
31-9097,Phlebotomists,319097,0.5644269,0.54665297,5.9093385,66,78,41.5,79,44,60,0.61416668,4.1069903,5.0081644,0.57583332,6.0017815
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",435111,0.55584294,0.55510205,5.9507036,63.5,57.5,37,55.333332,41.5,40,0.49138886,4.8663535,5.4085283,0.57583332,6.0017815
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",371012,0.54448658,0.5432542,5.7844615,59,86.5,81,75.666664,51.5,60,0.68944442,3.5847595,4.6846104,0.57583332,6.0017815
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",353021,0.55965132,0.52148193,5.7954421,57.5,63,41,51.666668,34.5,20,0.44611114,5.0017881,5.3986154,0.57583332,6.0017815
43-2011,"Switchboard Operators, Including Answering Service",432011,0.69256806,0.54126203,6.4777908,52.5,41,38.5,60.333332,42,40,0.45722219,5.5187182,5.9982543,0.57583332,6.0017815
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",519196,0.50751841,0.53368676,5.6405997,67.5,72.5,32,65.333336,37,40,0.52388889,4.4294376,5.0350189,0.57583332,6.0017815
19-1011,Animal Scientists,191011,0.66922629,0.58355695,6.5039768,68.5,59,52.5,67.333336,53.5,100,0.66805559,4.1697717,5.336874,0.57583332,6.0017815
51-9194,Etchers and Engravers,519194,0.51974809,0.55148166,5.7463117,51.5,47,27,60.666668,50.5,40,0.46111116,4.8731914,5.3097515,0.57583332,6.0017815
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,351012,0.57319713,0.54186833,5.918488,57.5,88.5,65,77,47.5,40,0.62583333,4.0443001,4.9813943,0.57583332,6.0017815
15-1152,Computer Network Support Specialists,151152,0.64225495,0.58099449,6.3889003,59,46.5,34,67.333336,52,80,0.56472224,4.7561812,5.5725408,0.57583332,6.0017815
13-1051,Cost Estimators,131051,0.68312317,0.59267437,6.651063,67,43.5,35.5,67.666664,46.5,80,0.56694442,4.9365668,5.7938151,0.57583332,6.0017815
33-2022,Forest Fire Inspectors and Prevention Specialists,332022,0.55678731,0.56216574,5.937932,76,83,72.5,80.666664,50,60,0.70361108,3.5957479,4.76684,0.57583332,6.0017815
51-2023,Electromechanical Equipment Assemblers,512023,0.53021306,0.55284178,5.8102264,55.5,66,31,47,41.5,40,0.46833333,4.8854322,5.3478293,0.57583332,6.0017815
35-2015,"Cooks, Short Order",352015,0.53747809,0.53647614,5.7671099,58,74,44.5,50,47.5,40,0.52333331,4.5319872,5.1495485,0.57583332,6.0017815
43-9022,Word Processors and Typists,439022,0.62946725,0.56841165,6.3149314,49.5,37.5,24.5,45.333332,51.5,40,0.41388887,5.6536179,5.9842749,0.57583332,6.0017815
47-4051,Highway Maintenance Workers,474051,0.47635004,0.52516472,5.4580235,59,73.5,83.5,74.333336,40,40,0.61722225,3.776649,4.6173363,0.57583332,6.0017815
15-1131,Computer Programmers,151131,0.67376244,0.59764755,6.607717,63.5,24.5,22,44.333332,40.5,80,0.45805553,5.6239018,6.1158094,0.57583332,6.0017815
43-4121,"Library Assistants, Clerical",434121,0.60969323,0.55163872,6.1264849,70.5,41.5,42,53.333332,48,40,0.49222219,5.0049982,5.5657415,0.57583332,6.0017815
19-1012,Food Scientists and Technologists,191012,0.63505745,0.58377528,6.3926401,63.5,57.5,32.5,58.333332,42.5,80,0.55722219,4.8069105,5.5997753,0.57583332,6.0017815
53-2012,Commercial Pilots,532012,0.53089339,0.58021355,5.9526625,61.5,76.5,82.5,83,53,60,0.69416666,3.6608875,4.8067751,0.57583332,6.0017815
11-1021,General and Operations Managers,111021,0.64405102,0.56091857,6.2937083,73,85,39.5,80.333336,58,80,0.69305557,3.8776236,5.0856657,0.57583332,6.0017815
53-3021,"Bus Drivers, Transit and Intercity",533021,0.49616784,0.56726927,5.7616687,50.5,43.5,66,74,33,40,0.51166666,4.5949306,5.1782999,0.57583332,6.0017815
17-3029,"Engineering Technicians, Except Drafters, All Other",173029,0.5792619,0.57281816,6.1141863,61.772728,61.954544,40.818184,69.121216,47.5,61.81818,0.57164145,4.5093665,5.3117766,0.57583332,6.0017815
43-5011,Cargo and Freight Agents,435011,0.69343394,0.58654982,6.6680775,55.75,56.25,38.75,71.333336,53.25,40,0.52555555,5.2251797,5.9466286,0.57583332,6.0017815
13-2099,"Financial Specialists, All Other",132099,0.6932677,0.58613253,6.6492186,62,38.5,29.25,65.833336,51.25,90,0.56138891,4.9721379,5.810678,0.57583332,6.0017815
29-1024,Prosthodontists,291024,0.56768978,0.55792934,5.9641986,71,86,49,87.333336,57.5,100,0.75138891,3.3266973,4.6454477,0.57583332,6.0017815
11-9161,Emergency Management Directors,119161,0.66317534,0.59079671,6.4992032,73.5,77.5,47.5,72,51,80,0.66916668,4.1594901,5.3293467,0.57583332,6.0017815
11-2022,Sales Managers,112022,0.6967966,0.58074909,6.6053615,66.5,47,38.5,54,49.5,80,0.55916667,4.954021,5.7796912,0.57583332,6.0017815
17-2131,Materials Engineers,172131,0.65285575,0.59521288,6.5021377,68.5,67.5,32,57.333332,50.5,80,0.59305555,4.6562533,5.5791955,0.57583332,6.0017815
17-2141,Mechanical Engineers,172141,0.6440863,0.59649378,6.4878125,67.666664,58.833336,38.333332,60.777779,51.166668,80,0.59462965,4.6357822,5.5617976,0.57583332,6.0017815
17-3027,Mechanical Engineering Technicians,173027,0.56262273,0.56152952,5.9808331,63.25,63.25,51.5,66,43.5,60,0.57916665,4.3660083,5.1734204,0.57583332,6.0017815
27-4014,Sound Engineering Technicians,274014,0.61502326,0.56654441,6.2471313,61,50.5,44,66.333336,49.5,60,0.55222225,4.7287312,5.4879313,0.57583332,6.0017815
29-2081,"Opticians, Dispensing",292081,0.58849502,0.56182313,6.0802846,62.5,55.5,45,67.333336,48,60,0.56388891,4.5315008,5.3058929,0.57583332,6.0017815
51-9031,"Cutters and Trimmers, Hand",519031,0.50509524,0.53242314,5.6072712,27,43.5,17.5,36,41.5,20,0.30916667,5.6072712,5.6072712,0.57583332,6.0017815
11-9151,Social and Community Service Managers,119151,0.69092655,0.57513928,6.5557213,73.5,74,29.5,71.333336,53,80,0.63555557,4.4160066,5.4858642,0.57583332,6.0017815
39-7012,Travel Guides,397012,0.63335925,0.57048154,6.3088112,66,76,57.5,73.666664,59.5,40,0.62111109,4.3408127,5.3248119,0.57583332,6.0017815
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",499012,0.51923323,0.54510719,5.6916943,58,71.5,78,73.333336,45.5,60,0.64388889,3.7865577,4.7391262,0.57583332,6.0017815
25-1011,"Business Teachers, Postsecondary",251011,0.72456491,0.56461656,6.6427894,80,37,27,60.333332,57.5,100,0.60305554,4.6905475,5.6666684,0.57583332,6.0017815
29-1151,Nurse Anesthetists,291151,0.59755433,0.56108874,6.1433554,67,75,47,89,54,100,0.72000003,3.6194601,4.8814077,0.57583332,6.0017815
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",533011,0.51377416,0.5395717,5.6605115,58.5,76,85.5,78.333336,50,40,0.64722222,3.7469442,4.7037277,0.57583332,6.0017815
41-9022,Real Estate Sales Agents,419022,0.64607471,0.58426666,6.4244576,67.5,38,64.5,77.666664,57.5,60,0.60861111,4.5006895,5.4625735,0.57583332,6.0017815
43-9031,Desktop Publishers,439031,0.58048135,0.60186899,6.1895375,52.5,30,31.5,53,49,60,0.46000001,5.255949,5.722743,0.57583332,6.0017815
51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",514193,0.51514626,0.52959913,5.6289058,49,71.5,35.5,64,38.5,40,0.4975,4.5687952,5.0988503,0.57583332,6.0017815
29-1063,"Internists, General",291063,0.67175895,0.57822222,6.5061445,59.5,70.5,46.5,88,54,100,0.69749999,3.9795918,5.2428679,0.57583332,6.0017815
21-1093,Social and Human Service Assistants,211093,0.63376063,0.55683357,6.2442822,77.5,62.5,46.5,62,49.5,80,0.63,4.2409086,5.2425952,0.57583332,6.0017815
19-4051,Nuclear Technicians,194051,0.5783003,0.56809944,6.1138315,70.833336,71.333336,69.666672,71.111115,41.5,60,0.64074075,4.0866432,5.1002374,0.57583332,6.0017815
19-1042,"Medical Scientists, Except Epidemiologists",191042,0.68596148,0.58883601,6.6115136,66,62.5,28.5,67.666664,51,100,0.62611109,4.5160313,5.5637722,0.57583332,6.0017815
29-2061,Licensed Practical and Licensed Vocational Nurses,292061,0.56054175,0.52669603,5.80301,55,76,48,71,48.5,60,0.59750003,4.1298084,4.9664092,0.57583332,6.0017815
35-2011,"Cooks, Fast Food",352011,0.55261284,0.51649249,5.7131085,79,55.5,33,62.333332,26.5,20,0.46055552,4.8482075,5.2806582,0.57583332,6.0017815
43-3021,Billing and Posting Clerks,433021,0.68326229,0.58125097,6.6356411,38.5,26.5,23.5,55,51.5,60,0.42500001,5.8670125,6.251327,0.57583332,6.0017815
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",451011,0.53832042,0.54836714,5.8146777,60,78,67,75.666664,50.5,60,0.6519444,3.8215356,4.8181067,0.57583332,6.0017815
21-1021,"Child, Family, and School Social Workers",211021,0.66797668,0.56004322,6.3844423,73,45.5,51,77,54,80,0.63416666,4.3094988,5.3469706,0.57583332,6.0017815
17-3026,Industrial Engineering Technicians,173026,0.61578852,0.58557695,6.3098412,64,62,35.5,73,51,60,0.57583332,4.6272168,5.4685292,0.57583332,6.0017815
39-4021,Funeral Attendants,394021,0.57254684,0.52042383,5.789125,59,61.5,80.5,64.333336,43,40,0.58055556,4.2180209,5.0035729,0.57583332,6.0017815
13-1074,Farm Labor Contractors,131074,0.55143344,0.53962195,5.8383198,57.5,90.5,72.5,68.333336,61,40,0.64972222,3.8500476,4.8441834,0.57583332,6.0017815
49-9041,Industrial Machinery Mechanics,499041,0.48187542,0.53343362,5.5237947,48,55.5,54.5,51.333332,43,60,0.5205555,4.3561263,4.9399605,0.57583332,6.0017815
47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",475031,0.50432599,0.55069071,5.6861339,60,87.5,82,76.666664,44,40,0.65027773,3.7465308,4.7163324,0.57583332,6.0017815
51-6092,Fabric and Apparel Patternmakers,516092,0.55752778,0.57646072,5.9971175,54,47.5,25,73,51.5,60,0.51833332,4.7427206,5.3699188,0.57583332,6.0017815
29-2099,"Health Technologists and Technicians, All Other",292099,0.56203675,0.54609215,5.9009495,57.625,61.5,45.625,73.25,47,60,0.57499999,4.3322806,5.1166148,0.57583332,6.0017815
21-1094,Community Health Workers,211094,0.59758335,0.55074328,6.0513129,77.5,58,51,60.666668,50,80,0.62861115,4.1182547,5.0847836,0.57583332,6.0017815
13-1199,"Business Operations Specialists, All Other",131199,0.66522908,0.58613259,6.5082798,58.900002,52.099998,36.900002,59.133335,48.699997,72,0.54622221,4.965456,5.7368679,0.57583332,6.0017815
19-4011,Agricultural and Food Science Technicians,194011,0.58183491,0.56603962,6.0794926,55,62,47.75,67.833336,43.75,60,0.56055558,4.5511756,5.3153338,0.57583332,6.0017815
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",414011,0.66762942,0.5722121,6.4397674,65.5,53.75,45.5,72.166664,57.75,70,0.60777777,4.5167813,5.4782743,0.57583332,6.0017815
17-2051,Civil Engineers,172051,0.66538036,0.60538483,6.612184,66.25,57,46.75,67.666664,50.5,80,0.6136111,4.5991416,5.6056628,0.57583332,6.0017815
31-9099,"Healthcare Support Workers, All Other",319099,0.60762513,0.54928422,6.1219225,56,60.25,41.5,64.5,48,60,0.55041665,4.645009,5.3834658,0.57583332,6.0017815
31-2022,Physical Therapist Aides,312022,0.53342223,0.51861835,5.6368666,59.5,60,50,64.666664,48,40,0.53694445,4.3529139,4.9948902,0.57583332,6.0017815
53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,531031,0.59185088,0.5640713,6.1006713,66.5,90,57.5,75,50.5,40,0.63249999,4.1281209,5.1143961,0.57583332,6.0017815
11-9141,"Property, Real Estate, and Community Association Managers",119141,0.69001502,0.58187425,6.5824251,67,64.5,47.5,65,52.5,80,0.6275,4.48702,5.5347223,0.57583332,6.0017815
13-1141,"Compensation, Benefits, and Job Analysis Specialists",131141,0.70261866,0.58613765,6.6841106,56.5,34.5,18,64.333336,56.5,80,0.51638889,5.2990146,5.9915624,0.57583332,6.0017815
19-4099,"Life, Physical, and Social Science Technicians, All Other",194099,0.60112745,0.58056056,6.2326956,55.333332,47.666664,45.333336,61.222221,47.5,73.333336,0.55064821,4.7276144,5.480155,0.57583332,6.0017815
53-4031,Railroad Conductors and Yardmasters,534031,0.53648299,0.55148184,5.8244047,53,74,78,79,41.5,40,0.60916668,4.0770831,4.9507442,0.57583332,6.0017815
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",231021,0.71848041,0.56915134,6.6542387,60.5,26,21,73.666664,54,100,0.55861109,4.9943762,5.8243074,0.57583332,6.0017815
33-9099,"Protective Service Workers, All Other",339099,0.58457756,0.56044179,6.0690212,69.5,62,43,76,48,40,0.56416667,4.521421,5.2952209,0.57583332,6.0017815
